day,month,hour,minute,load
1,0,19.0,30.0,74.73
1,0,19.0,45.0,74.25
1,0,20.0,0.0,74.19
1,0,20.0,15.0,74.04
1,0,20.0,30.0,69.89
1,0,20.0,45.0,69.44
1,0,21.0,0.0,69.13
1,0,21.0,15.0,68.32
1,0,21.0,30.0,68.26
1,0,21.0,45.0,67.96
1,0,22.0,0.0,70.65
1,0,22.0,15.0,70.95
1,0,22.0,30.0,66.82
1,0,22.0,45.0,66.72
1,0,23.0,0.0,66.81
1,0,23.0,15.0,67.01
1,0,23.0,30.0,61.85
1,0,23.0,45.0,61.96
2,0,0.0,0.0,61.62
2,0,0.0,15.0,61.45
2,0,0.0,30.0,56.08
2,0,0.0,45.0,55.99
2,0,1.0,0.0,55.38
2,0,1.0,15.0,55.39
2,0,1.0,30.0,55.37
2,0,1.0,45.0,55.71
2,0,2.0,0.0,55.36
2,0,2.0,15.0,55.39
2,0,2.0,30.0,55.55
2,0,2.0,45.0,55.66
2,0,3.0,0.0,55.44
2,0,3.0,15.0,55.48
2,0,3.0,30.0,47.32
2,0,3.0,45.0,55.54
2,0,4.0,0.0,55.55
2,0,4.0,15.0,55.4
2,0,4.0,30.0,55.14
2,0,4.0,45.0,55.29
2,0,5.0,0.0,47.44
2,0,5.0,15.0,56.01
2,0,5.0,30.0,56.54
2,0,5.0,45.0,56.79
2,0,6.0,0.0,56.93
2,0,6.0,15.0,57.22
2,0,6.0,30.0,57.84
2,0,6.0,45.0,58.2
2,0,7.0,0.0,50.48
2,0,7.0,15.0,56.93
2,0,7.0,30.0,56.69
2,0,7.0,45.0,55.97
2,0,8.0,0.0,55.54
2,0,8.0,15.0,48.47
2,0,8.0,30.0,59.47
2,0,8.0,45.0,53.1
2,0,9.0,0.0,56.28
2,0,9.0,15.0,62.53
2,0,9.0,30.0,62.43
2,0,9.0,45.0,63.64
2,0,10.0,0.0,63.62
2,0,10.0,15.0,63.58
2,0,10.0,30.0,64.79
2,0,10.0,45.0,64.13
2,0,11.0,0.0,63.65
2,0,11.0,15.0,63.62
2,0,11.0,30.0,64.73
2,0,11.0,45.0,63.76
2,0,12.0,0.0,63.48
2,0,12.0,15.0,56.1
2,0,12.0,30.0,62.51
2,0,12.0,45.0,62.94
2,0,13.0,0.0,62.23
2,0,13.0,15.0,62.49
2,0,13.0,30.0,64.78
2,0,13.0,45.0,64.9
2,0,14.0,0.0,65.45
2,0,14.0,15.0,65.6
2,0,14.0,30.0,65.39
2,0,14.0,45.0,65.28
2,0,15.0,0.0,61.87
2,0,15.0,15.0,59.67
2,0,15.0,30.0,65.76
2,0,15.0,45.0,66.01
2,0,16.0,0.0,66.11
2,0,16.0,15.0,65.96
2,0,16.0,30.0,65.92
2,0,16.0,45.0,66.09
2,0,17.0,0.0,65.52
2,0,17.0,15.0,65.81
2,0,17.0,30.0,65.71
2,0,17.0,45.0,65.64
2,0,18.0,0.0,66.12
2,0,18.0,15.0,66.82
2,0,18.0,30.0,63.4
2,0,18.0,45.0,70.16
2,0,19.0,0.0,72.87
2,0,19.0,15.0,72.77
2,0,19.0,30.0,71.99
2,0,19.0,45.0,71.34
2,0,20.0,0.0,70.76
2,0,20.0,15.0,70.82
2,0,20.0,30.0,70.35
2,0,20.0,45.0,71.46
2,0,21.0,0.0,70.61
2,0,21.0,15.0,68.39
2,0,21.0,30.0,68.24
2,0,21.0,45.0,67.95
2,0,22.0,0.0,65.78
2,0,22.0,15.0,69.38
2,0,22.0,30.0,68.94
2,0,22.0,45.0,68.76
2,0,23.0,0.0,64.36
2,0,23.0,15.0,63.95
2,0,23.0,30.0,63.68
2,0,23.0,45.0,63.86
3,0,0.0,0.0,59.48
3,0,0.0,15.0,52.53
3,0,0.0,30.0,59.14
3,0,0.0,45.0,58.97
3,0,1.0,0.0,58.94
3,0,1.0,15.0,58.63
3,0,1.0,30.0,58.7
3,0,1.0,45.0,54.73
3,0,2.0,0.0,54.81
3,0,2.0,15.0,54.47
3,0,2.0,30.0,54.64
3,0,2.0,45.0,54.62
3,0,3.0,0.0,54.43
3,0,3.0,15.0,54.71
3,0,3.0,30.0,54.46
3,0,3.0,45.0,54.38
3,0,4.0,0.0,54.3
3,0,4.0,15.0,54.31
3,0,4.0,30.0,54.5
3,0,4.0,45.0,54.49
3,0,5.0,0.0,54.53
3,0,5.0,15.0,54.94
3,0,5.0,30.0,55.48
3,0,5.0,45.0,55.72
3,0,6.0,0.0,56.02
3,0,6.0,15.0,55.76
3,0,6.0,30.0,55.68
3,0,6.0,45.0,56.17
3,0,7.0,0.0,55.17
3,0,7.0,15.0,47.34
3,0,7.0,30.0,54.82
3,0,7.0,45.0,54.46
3,0,8.0,0.0,54.86
3,0,8.0,15.0,55.28
3,0,8.0,30.0,59.66
3,0,8.0,45.0,59.76
3,0,9.0,0.0,64.2
3,0,9.0,15.0,62.53
3,0,9.0,30.0,61.02
3,0,9.0,45.0,59.6
3,0,10.0,0.0,64.06
3,0,10.0,15.0,62.82
3,0,10.0,30.0,63.24
3,0,10.0,45.0,64.87
3,0,11.0,0.0,63.34
3,0,11.0,15.0,62.96
3,0,11.0,30.0,62.95
3,0,11.0,45.0,62.85
3,0,12.0,0.0,56.42
3,0,12.0,15.0,62.52
3,0,12.0,30.0,62.74
3,0,12.0,45.0,62.93
3,0,13.0,0.0,56.55
3,0,13.0,15.0,62.48
3,0,13.0,30.0,62.84
3,0,13.0,45.0,59.78
3,0,14.0,0.0,61.81
3,0,14.0,15.0,68.68
3,0,14.0,30.0,68.6
3,0,14.0,45.0,68.49
3,0,15.0,0.0,68.33
3,0,15.0,15.0,68.02
3,0,15.0,30.0,67.75
3,0,15.0,45.0,69.15
3,0,16.0,0.0,67.79
3,0,16.0,15.0,66.75
3,0,16.0,30.0,66.7
3,0,16.0,45.0,67.17
3,0,17.0,0.0,66.9
3,0,17.0,15.0,60.87
3,0,17.0,30.0,61.13
3,0,17.0,45.0,66.73
3,0,18.0,0.0,66.89
3,0,18.0,15.0,67.45
3,0,18.0,30.0,68.4
3,0,18.0,45.0,72.02
3,0,19.0,0.0,71.99
3,0,19.0,15.0,72.91
3,0,19.0,30.0,72.88
3,0,19.0,45.0,72.64
3,0,20.0,0.0,70.9
3,0,20.0,15.0,69.12
3,0,20.0,30.0,69.31
3,0,20.0,45.0,68.96
3,0,21.0,0.0,68.05
3,0,21.0,15.0,67.91
3,0,21.0,30.0,67.81
3,0,21.0,45.0,67.52
3,0,22.0,0.0,69.23
3,0,22.0,15.0,69.99
3,0,22.0,30.0,69.89
3,0,22.0,45.0,64.07
3,0,23.0,0.0,69.09
3,0,23.0,15.0,63.49
3,0,23.0,30.0,63.14
3,0,23.0,45.0,63.02
4,0,0.0,0.0,63.22
4,0,0.0,15.0,58.84
4,0,0.0,30.0,58.29
4,0,0.0,45.0,58.36
4,0,1.0,0.0,58.57
4,0,1.0,15.0,58.27
4,0,1.0,30.0,58.24
4,0,1.0,45.0,58.36
4,0,2.0,0.0,58.4
4,0,2.0,15.0,54.26
4,0,2.0,30.0,54.11
4,0,2.0,45.0,54.17
4,0,3.0,0.0,54.3
4,0,3.0,15.0,54.43
4,0,3.0,30.0,54.19
4,0,3.0,45.0,54.56
4,0,4.0,0.0,54.34
4,0,4.0,15.0,54.09
4,0,4.0,30.0,54.19
4,0,4.0,45.0,54.21
4,0,5.0,0.0,54.4
4,0,5.0,15.0,54.14
4,0,5.0,30.0,55.95
4,0,5.0,45.0,56.61
4,0,6.0,0.0,56.89
4,0,6.0,15.0,57.02
4,0,6.0,30.0,57.82
4,0,6.0,45.0,62.34
4,0,7.0,0.0,51.79
4,0,7.0,15.0,59.48
4,0,7.0,30.0,58.4
4,0,7.0,45.0,60.83
4,0,8.0,0.0,60.31
4,0,8.0,15.0,60.41
4,0,8.0,30.0,53.09
4,0,8.0,45.0,65.01
4,0,9.0,0.0,64.09
4,0,9.0,15.0,62.15
4,0,9.0,30.0,60.61
4,0,9.0,45.0,63.02
4,0,10.0,0.0,62.71
4,0,10.0,15.0,63.17
4,0,10.0,30.0,55.69
4,0,10.0,45.0,53.9
4,0,11.0,0.0,57.63
4,0,11.0,15.0,65.61
4,0,11.0,30.0,65.83
4,0,11.0,45.0,66.03
4,0,12.0,0.0,65.17
4,0,12.0,15.0,66.06
4,0,12.0,30.0,66.58
4,0,12.0,45.0,66.47
4,0,13.0,0.0,66.43
4,0,13.0,15.0,67.34
4,0,13.0,30.0,70.46
4,0,13.0,45.0,70.47
